775;1517;2224;2924;3508;4147;4527;5149;5346;5893;5893;6369;6191;6623;6404;6727;6474;6835;6544;6871;6607;6883;6601;6897;6641;6843;6646;6836;6635;6925;6633;6823
1511;2923;4139;5122;5846;6349;6568;6744;6780;6842;6860;6894;6868;6874;6907;6865;6857;6888;6886;6908;6870;6783;6628;6577;6600;6782;6594;6760;6535;6823;6529;6713
2205;4149;5352;6396;6382;6827;6602;6910;6710;6934;6717;6897;6739;6866;6523;6555;5260;5266;5303;6854;6522;6847;6708;6837;6511;6700;6513;6680;6464;6726;6441;6623
2918;5138;6383;6778;6869;6919;6918;6921;6903;6911;6788;6591;4867;5604;6856;6826;6799;6793;6760;6032;6805;6795;6712;6760;6471;5916;6425;6593;6371;6647;6368;5825
3499;5876;6390;6886;5958;6912;6724;6920;6557;5854;6696;6850;6697;6818;6759;6836;5724;5217;6430;6751;6702;6773;6677;5993;6384;6552;6376;6525;6308;5848;6277;6470
4144;6382;6833;6859;6896;6924;6873;6577;5306;6205;5905;6854;6671;6798;6754;6730;6688;6700;6693;6726;6729;6705;6671;6262;6350;6485;6297;6444;6248;6501;6244;6399
4538;6646;6636;6769;6691;6908;6081;6736;6721;6690;6785;6830;5396;6557;6054;6512;5928;5940;5967;6706;6665;6678;6598;6601;6291;6425;6257;6409;6194;6419;6172;6337
5147;6679;6668;6904;6887;6574;6123;6193;6708;6843;6775;6759;5997;6771;6770;6735;6622;6624;6628;6669;6603;6637;5970;6607;6247;6026;6194;6332;6136;6362;6118;6269
